Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,P2O5,K2O,N,Ertrag_Staerke,Gehalt_Staerke,Gehalt_Zucker,Blauzahl,Loesl_Trockensubstanz,Loesl_Asche,Bemerkungen_ID
297,297,,,,,,15.4,0.083,19.6,0.058,21
298,298,,,,,,15.4,0.083,19.6,0.058,21
299,299,,,,,,15.4,0.083,19.6,0.058,21
300,300,,,,,,15.4,0.083,19.6,0.058,21
301,301,,,,,,14.3,0.081,19.6,0.65,21
302,302,,,,,,14.3,0.081,19.6,0.65,21
303,303,,,,,,14.3,0.081,19.6,0.65,21
304,304,,,,,,14.3,0.081,19.6,0.65,21
305,305,,,,,,15.1,0.039,19.6,0.51,21
306,306,,,,,,15.1,0.039,19.6,0.51,21
307,307,,,,,,15.1,0.039,19.6,0.51,21
308,308,,,,,,15.1,0.039,19.6,0.51,21
309,309,,,,,,15.6,0.056,19.4,0.054,21
310,310,,,,,,15.6,0.056,19.4,0.054,21
311,311,,,,,,15.6,0.056,19.4,0.054,21
312,312,,,,,,15.6,0.056,19.4,0.054,21
313,313,,,,,,15.2,0.087,19.4,0.63,21
314,314,,,,,,15.2,0.087,19.4,0.63,21
315,315,,,,,,15.2,0.087,19.4,0.63,21
316,316,,,,,,15.2,0.087,19.4,0.63,21
317,317,,,,,,14.4,0.089,19,0.65,21
318,318,,,,,,14.4,0.089,19,0.65,21
319,319,,,,,,14.4,0.089,19,0.65,21
320,320,,,,,,14.4,0.089,19,0.65,21
321,321,,,,,,15.8,0.031,19.8,0.44,20
322,322,,,,,,15.8,0.031,19.8,0.44,20
323,323,,,,,,15.8,0.031,19.8,0.44,20
324,324,,,,,,15.8,0.031,19.8,0.44,20
325,325,,,,,,16.2,0.036,20,0.44,20
326,326,,,,,,16.2,0.036,20,0.44,20
327,327,,,,,,16.2,0.036,20,0.44,20
328,328,,,,,,16.2,0.036,20,0.44,20
329,329,,,,,,15.4,0.053,19.6,0.46,20
330,330,,,,,,15.4,0.053,19.6,0.46,20
331,331,,,,,,15.4,0.053,19.6,0.46,20
332,332,,,,,,15.4,0.053,19.6,0.46,20
333,333,,,,,,15,0.081,19.4,0.54,20
334,334,,,,,,15,0.081,19.4,0.54,20
335,335,,,,,,15,0.081,19.4,0.54,20
336,336,,,,,,15,0.081,19.4,0.54,20
337,337,,,,,,15.6,0.028,19.8,0.44,20
338,338,,,,,,15.6,0.028,19.8,0.44,20
339,339,,,,,,15.6,0.028,19.8,0.44,20
340,340,,,,,,15.6,0.028,19.8,0.44,20
341,341,,,,,,16,0.034,20,0.47,20
342,342,,,,,,16,0.034,20,0.47,20
343,343,,,,,,16,0.034,20,0.47,20
344,344,,,,,,16,0.034,20,0.47,20
345,345,,,,,,15.2,0.057,19.2,0.52,20
346,346,,,,,,15.2,0.057,19.2,0.52,20
347,347,,,,,,15.2,0.057,19.2,0.52,20
348,348,,,,,,15.2,0.057,19.2,0.52,20
349,349,,,,,,14.9,0.083,19.4,0.53,20
350,350,,,,,,14.9,0.083,19.4,0.53,20
351,351,,,,,,14.9,0.083,19.4,0.53,20
352,352,,,,,,14.9,0.083,19.4,0.53,20
353,353,,,,,,15.6,0.056,19.4,0.5,20
354,354,,,,,,15.6,0.056,19.4,0.5,20
355,355,,,,,,15.6,0.056,19.4,0.5,20
356,356,,,,,,15.6,0.056,19.4,0.5,20
357,357,,,,,,15,0.051,19,0.51,20
358,358,,,,,,15,0.051,19,0.51,20
359,359,,,,,,15,0.051,19,0.51,20
360,360,,,,,,15,0.051,19,0.51,20
361,361,,,,,,15,0.07,19.4,0.54,20
362,362,,,,,,15,0.07,19.4,0.54,20
363,363,,,,,,15,0.07,19.4,0.54,20
364,364,,,,,,15,0.07,19.4,0.54,20
365,365,,,,,,14.5,0.096,19,0.61,20
366,366,,,,,,14.5,0.096,19,0.61,20
367,367,,,,,,14.5,0.096,19,0.61,20
368,368,,,,,,14.5,0.096,19,0.61,20
369,369,,,,,,15.4,0.048,19.4,0.54,20
370,370,,,,,,15.4,0.048,19.4,0.54,20
371,371,,,,,,15.4,0.048,19.4,0.54,20
372,372,,,,,,15.4,0.048,19.4,0.54,20
373,373,,,,,,15.4,0.053,19.6,0.54,20
374,374,,,,,,15.4,0.053,19.6,0.54,20
375,375,,,,,,15.4,0.053,19.6,0.54,20
376,376,,,,,,15.4,0.053,19.6,0.54,20
377,377,,,,,,15.1,0.062,19,0.55,20
378,378,,,,,,15.1,0.062,19,0.55,20
379,379,,,,,,15.1,0.062,19,0.55,20
380,380,,,,,,15.1,0.062,19,0.55,20
381,381,,,,,,14.6,0.073,19,0.57,20
382,382,,,,,,14.6,0.073,19,0.57,20
383,383,,,,,,14.6,0.073,19,0.57,20
384,384,,,,,,14.6,0.073,19,0.57,20
385,385,,,,30,15.1,,,,,21
386,386,,,,30,15.1,,,,,21
387,387,,,,30,15.1,,,,,21
388,388,,,,30,15.1,,,,,21
389,389,,,,44.2,16.2,,,,,21
390,390,,,,44.2,16.2,,,,,21
391,391,,,,44.2,16.2,,,,,21
392,392,,,,44.2,16.2,,,,,21
393,393,,,,50.1,16.4,,,,,21
394,394,,,,50.1,16.4,,,,,21
395,395,,,,50.1,16.4,,,,,21
396,396,,,,50.1,16.4,,,,,21
397,397,,,,48.9,15.5,,,,,21
398,398,,,,48.9,15.5,,,,,21
399,399,,,,48.9,15.5,,,,,21
400,400,,,,48.9,15.5,,,,,21
401,401,,,,32.1,15,,,,,21
402,402,,,,32.1,15,,,,,21
403,403,,,,32.1,15,,,,,21
404,404,,,,32.1,15,,,,,21
405,405,,,,44.8,15.8,,,,,21
406,406,,,,44.8,15.8,,,,,21
407,407,,,,44.8,15.8,,,,,21
408,408,,,,44.8,15.8,,,,,21
409,409,,,,51.4,15.4,,,,,21
410,410,,,,51.4,15.4,,,,,21
411,411,,,,51.4,15.4,,,,,21
412,412,,,,51.4,15.4,,,,,21
413,413,,,,53.2,16.2,,,,,21
414,414,,,,53.2,16.2,,,,,21
415,415,,,,53.2,16.2,,,,,21
416,416,,,,53.2,16.2,,,,,21
417,417,,,,37.8,16,,,,,21
418,418,,,,37.8,16,,,,,21
419,419,,,,37.8,16,,,,,21
420,420,,,,37.8,16,,,,,21
421,421,,,,50.2,15.3,,,,,21
422,422,,,,50.2,15.3,,,,,21
423,423,,,,50.2,15.3,,,,,21
424,424,,,,50.2,15.3,,,,,21
425,425,,,,50.3,15.2,,,,,21
426,426,,,,50.3,15.2,,,,,21
427,427,,,,50.3,15.2,,,,,21
428,428,,,,50.3,15.2,,,,,21
429,429,,,,57.6,16.1,,,,,21
430,430,,,,57.6,16.1,,,,,21
431,431,,,,57.6,16.1,,,,,21
432,432,,,,57.6,16.1,,,,,21
433,433,,,,37.2,15.4,,,,,21
434,434,,,,37.2,15.4,,,,,21
435,435,,,,37.2,15.4,,,,,21
436,436,,,,37.2,15.4,,,,,21
437,437,,,,49.4,15.4,,,,,21
438,438,,,,49.4,15.4,,,,,21
439,439,,,,49.4,15.4,,,,,21
440,440,,,,49.4,15.4,,,,,21
441,441,,,,51.8,15.1,,,,,21
442,442,,,,51.8,15.1,,,,,21
443,443,,,,51.8,15.1,,,,,21
444,444,,,,51.8,15.1,,,,,21
445,445,,,,52.8,15.4,,,,,21
446,446,,,,52.8,15.4,,,,,21
447,447,,,,52.8,15.4,,,,,21
448,448,,,,52.8,15.4,,,,,21
449,449,,,,37.1,15.8,,,,,20
450,450,,,,37.1,15.8,,,,,20
451,451,,,,37.1,15.8,,,,,20
452,452,,,,37.1,15.8,,,,,20
453,453,,,,50.4,14.8,,,,,20
454,454,,,,50.4,14.8,,,,,20
455,455,,,,50.4,14.8,,,,,20
456,456,,,,50.4,14.8,,,,,20
457,457,,,,59.4,15.8,,,,,20
458,458,,,,59.4,15.8,,,,,20
459,459,,,,59.4,15.8,,,,,20
460,460,,,,59.4,15.8,,,,,20
461,461,,,,56.5,15.3,,,,,20
462,462,,,,56.5,15.3,,,,,20
463,463,,,,56.5,15.3,,,,,20
464,464,,,,56.5,15.3,,,,,20
465,465,,,,37.8,14.9,,,,,20
466,466,,,,37.8,14.9,,,,,20
467,467,,,,37.8,14.9,,,,,20
468,468,,,,37.8,14.9,,,,,20
469,469,,,,55.1,15.4,,,,,20
470,470,,,,55.1,15.4,,,,,20
471,471,,,,55.1,15.4,,,,,20
472,472,,,,55.1,15.4,,,,,20
473,473,,,,57.6,15.1,,,,,20
474,474,,,,57.6,15.1,,,,,20
475,475,,,,57.6,15.1,,,,,20
476,476,,,,57.6,15.1,,,,,20
477,477,,,,59.9,15.7,,,,,20
478,478,,,,59.9,15.7,,,,,20
479,479,,,,59.9,15.7,,,,,20
480,480,,,,59.9,15.7,,,,,20
481,481,,,,43.6,15,,,,,20
482,482,,,,43.6,15,,,,,20
483,483,,,,43.6,15,,,,,20
484,484,,,,43.6,15,,,,,20
485,485,,,,54.2,15.2,,,,,20
486,486,,,,54.2,15.2,,,,,20
487,487,,,,54.2,15.2,,,,,20
488,488,,,,54.2,15.2,,,,,20
489,489,,,,57.9,14.9,,,,,20
490,490,,,,57.9,14.9,,,,,20
491,491,,,,57.9,14.9,,,,,20
492,492,,,,57.9,14.9,,,,,20
493,493,,,,50.1,13.6,,,,,20
494,494,,,,50.1,13.6,,,,,20
495,495,,,,50.1,13.6,,,,,20
496,496,,,,50.1,13.6,,,,,20
497,497,,,,44.7,15.1,,,,,20
498,498,,,,44.7,15.1,,,,,20
499,499,,,,44.7,15.1,,,,,20
500,500,,,,44.7,15.1,,,,,20
501,501,,,,55.5,15,,,,,20
502,502,,,,55.5,15,,,,,20
503,503,,,,55.5,15,,,,,20
504,504,,,,55.5,15,,,,,20
505,505,,,,58.8,15,,,,,20
506,506,,,,58.8,15,,,,,20
507,507,,,,58.8,15,,,,,20
508,508,,,,58.8,15,,,,,20
509,509,,,,58.3,14.9,,,,,20
510,510,,,,58.3,14.9,,,,,20
511,511,,,,58.3,14.9,,,,,20
512,512,,,,58.3,14.9,,,,,20
513,513,,,,,,19.5,0.068,24,0.44,21
514,514,,,,,,19.5,0.068,24,0.44,21
515,515,,,,,,19.5,0.068,24,0.44,21
516,516,,,,,,19.5,0.068,24,0.44,21
517,517,,,,,,19.6,0.076,24,0.38,21
518,518,,,,,,19.6,0.076,24,0.38,21
519,519,,,,,,19.6,0.076,24,0.38,21
520,520,,,,,,19.6,0.076,24,0.38,21
521,521,,,,,,18.1,0.111,22.4,0.37,21
522,522,,,,,,18.1,0.111,22.4,0.37,21
523,523,,,,,,18.1,0.111,22.4,0.37,21
524,524,,,,,,18.1,0.111,22.4,0.37,21
525,525,,,,,,17.8,0.2,23,0.4,21
526,526,,,,,,17.8,0.2,23,0.4,21
527,527,,,,,,17.8,0.2,23,0.4,21
528,528,,,,,,17.8,0.2,23,0.4,21
529,529,,,,,,19.4,0.07,23.4,0.44,21
530,530,,,,,,19.4,0.07,23.4,0.44,21
531,531,,,,,,19.4,0.07,23.4,0.44,21
