Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
629,1989,19890411,53,,6,7,
630,1989,19890411,54,,6,7,
631,1989,19890411,55,,6,7,
632,1989,19890411,56,,6,7,
633,1989,19890411,57,,6,7,
634,1989,19890411,58,,6,7,
635,1989,19890411,59,,6,7,
636,1989,19890411,60,,6,7,
637,1989,19890411,61,,6,7,
638,1989,19890411,62,,6,7,
639,1989,19890411,63,,6,7,
640,1989,19890411,64,,6,7,
641,1990,19890925,1,20,2,8,
642,1990,19890925,2,20,2,8,
643,1990,19890925,3,20,2,8,
644,1990,19890925,4,20,2,8,
645,1990,19890925,5,20,2,8,
646,1990,19890925,6,20,2,8,
647,1990,19890925,7,20,2,8,
648,1990,19890925,8,20,2,8,
649,1990,19890925,9,20,2,8,
650,1990,19890925,10,20,2,8,
651,1990,19890925,11,20,2,8,
652,1990,19890925,12,20,2,8,
653,1990,19890925,13,20,2,8,
654,1990,19890925,14,20,2,8,
655,1990,19890925,15,20,2,8,
656,1990,19890925,16,20,2,8,
657,1990,19890925,17,20,2,8,
658,1990,19890925,18,20,2,8,
659,1990,19890925,19,20,2,8,
660,1990,19890925,20,20,2,8,
661,1990,19890925,21,20,2,8,
662,1990,19890925,22,20,2,8,
663,1990,19890925,23,20,2,8,
664,1990,19890925,24,20,2,8,
665,1990,19890925,25,20,2,8,
666,1990,19890925,26,20,2,8,
667,1990,19890925,27,20,2,8,
668,1990,19890925,28,20,2,8,
669,1990,19890925,29,20,2,8,
670,1990,19890925,30,20,2,8,
671,1990,19890925,31,20,2,8,
672,1990,19890925,32,20,2,8,
673,1990,19890925,33,20,2,8,
674,1990,19890925,34,20,2,8,
675,1990,19890925,35,20,2,8,
676,1990,19890925,36,20,2,8,
677,1990,19890925,37,20,2,8,
678,1990,19890925,38,20,2,8,
679,1990,19890925,39,20,2,8,
680,1990,19890925,40,20,2,8,
681,1990,19890925,41,20,2,8,
682,1990,19890925,42,20,2,8,
683,1990,19890925,43,20,2,8,
684,1990,19890925,44,20,2,8,
685,1990,19890925,45,20,2,8,
686,1990,19890925,46,20,2,8,
687,1990,19890925,47,20,2,8,
688,1990,19890925,48,20,2,8,
689,1990,19890925,49,20,2,8,
690,1990,19890925,50,20,2,8,
691,1990,19890925,51,20,2,8,
692,1990,19890925,52,20,2,8,
693,1990,19890925,53,20,2,8,
694,1990,19890925,54,20,2,8,
695,1990,19890925,55,20,2,8,
696,1990,19890925,56,20,2,8,
697,1990,19890925,57,20,2,8,
698,1990,19890925,58,20,2,8,
699,1990,19890925,59,20,2,8,
700,1990,19890925,60,20,2,8,
701,1990,19890925,61,20,2,8,
702,1990,19890925,62,20,2,8,
703,1990,19890925,63,20,2,8,
704,1990,19890925,64,20,2,8,
705,1990,19891005,1,,6,7,
706,1990,19891005,2,,6,7,
707,1990,19891005,3,,6,7,
708,1990,19891005,4,,6,7,
709,1990,19891005,5,,6,7,
710,1990,19891005,6,,6,7,
711,1990,19891005,7,,6,7,
712,1990,19891005,8,,6,7,
713,1990,19891005,9,,6,7,
714,1990,19891005,10,,6,7,
715,1990,19891005,11,,6,7,
716,1990,19891005,12,,6,7,
717,1990,19891005,13,,6,7,
718,1990,19891005,14,,6,7,
719,1990,19891005,15,,6,7,
720,1990,19891005,16,,6,7,
721,1990,19891005,17,,6,7,
722,1990,19891005,18,,6,7,
723,1990,19891005,19,,6,7,
724,1990,19891005,20,,6,7,
725,1990,19891005,21,,6,7,
726,1990,19891005,22,,6,7,
727,1990,19891005,23,,6,7,
728,1990,19891005,24,,6,7,
729,1990,19891005,25,,6,7,
730,1990,19891005,26,,6,7,
731,1990,19891005,27,,6,7,
732,1990,19891005,28,,6,7,
733,1990,19891005,29,,6,7,
734,1990,19891005,30,,6,7,
735,1990,19891005,31,,6,7,
736,1990,19891005,32,,6,7,
737,1990,19891005,33,,6,7,
738,1990,19891005,34,,6,7,
739,1990,19891005,35,,6,7,
740,1990,19891005,36,,6,7,
741,1990,19891005,37,,6,7,
742,1990,19891005,38,,6,7,
743,1990,19891005,39,,6,7,
744,1990,19891005,40,,6,7,
745,1990,19891005,41,,6,7,
746,1990,19891005,42,,6,7,
747,1990,19891005,43,,6,7,
748,1990,19891005,44,,6,7,
749,1990,19891005,45,,6,7,
750,1990,19891005,46,,6,7,
751,1990,19891005,47,,6,7,
752,1990,19891005,48,,6,7,
753,1990,19891005,49,,6,7,
754,1990,19891005,50,,6,7,
755,1990,19891005,51,,6,7,
756,1990,19891005,52,,6,7,
757,1990,19891005,53,,6,7,
758,1990,19891005,54,,6,7,
759,1990,19891005,55,,6,7,
760,1990,19891005,56,,6,7,
761,1990,19891005,57,,6,7,
762,1990,19891005,58,,6,7,
763,1990,19891005,59,,6,7,
764,1990,19891005,60,,6,7,
765,1990,19891005,61,,6,7,
766,1990,19891005,62,,6,7,
767,1990,19891005,63,,6,7,
768,1990,19891005,64,,6,7,
769,1991,19900829,1,,1,12,
770,1991,19900829,2,,1,12,
771,1991,19900829,3,,1,12,
772,1991,19900829,4,,1,12,
773,1991,19900829,5,,1,12,
774,1991,19900829,6,,1,12,
775,1991,19900829,7,,1,12,
776,1991,19900829,8,,1,12,
777,1991,19900829,9,,1,12,
778,1991,19900829,10,,1,12,
779,1991,19900829,11,,1,12,
780,1991,19900829,12,,1,12,
781,1991,19900829,13,,1,12,
782,1991,19900829,14,,1,12,
783,1991,19900829,15,,1,12,
784,1991,19900829,16,,1,12,
785,1991,19900829,17,,1,12,
