"column_header";"table";"raw_table";"variable";"column_description";"column_unit";"std_header";"header_fun";"header_fun_args";"std_description";"std_unit";"code_mappings";"values_fun";"values_fun_args";"comments"
"Kultur_ID";"CHEMICALS";".";"Kultur_ID";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Menge";"CHEMICALS";"PFLANZENSCHUTZ";"Menge";"Amount of applied plant protection. The unit differs according to the used product.";"*kg/ha";"CHAMT";"";"";"";"kg/ha";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"CHEMICALS";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"INDIKATION.Indikation";"CHEMICALS";"INDIKATION";"Indikation";"Description of indication";"text";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ_MITTEL.Name";"CHEMICALS";"PFLANZENSCHUTZ_MITTEL";"Name";"Name of plant protection product";"text";"*CHCD";"";"";"";"code";"list('80% Maneb: CH054', '380 g/l Dimethoat: CH024', '50% Benomyl: CH052', '50% Metalaxyl + 80% Zineb: CH053', '600 g/l 2,4-D: CH006', '90% 2,4-D: CH006', '375 g/l Dichlorprop + 125 g/l MCPA: CH005', '250 g/l Propiconazol: CH056', '500 g/l MCPA: CH005', '7% Parathion-methyl: CH033', '7% Parathion: CH032', '80% Zineb: CH053', '90% Zineb: CH053')";"function(x, y){ paste(x, y, sep =  | ) }";"x=PFLANZENSCHUTZ_MITTEL.Name ; y=PFLANZENSCHUTZ_MITTEL.Wirkstoff";"perhaps merge with Wirkstoff as ICASA codes for chemicals are consistently either product or active substance"
"PFLANZENSCHUTZ_MITTEL.Wirkstoff";"CHEMICALS";"PFLANZENSCHUTZ_MITTEL";"Wirkstoff";"Active substance in the plant protection product";"text";"CHCD";"";"";"";"code";"list('80% Maneb: CH054', '380 g/l Dimethoat: CH024', '50% Benomyl: CH052', '50% Metalaxyl + 80% Zineb: CH053', '600 g/l 2,4-D: CH006', '90% 2,4-D: CH006', '375 g/l Dichlorprop + 125 g/l MCPA: CH005', '250 g/l Propiconazol: CH056', '500 g/l MCPA: CH005', '7% Parathion-methyl: CH033', '7% Parathion: CH032', '80% Zineb: CH053', '90% Zineb: CH053')";"function(x, y){ paste(x, y, sep =  | ) }";"x=PFLANZENSCHUTZ_MITTEL.Name ; y=PFLANZENSCHUTZ_MITTEL.Wirkstoff";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"CHEMICALS";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";"CHEMICALS";"TECHNIK";"Arbeitsbreite";"Working width of the agricultural machine (in m)";"m";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";"CHEMICALS";"TECHNIK";"Reihenabstand";"Row distance (in cm)";"cm";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";"CHEMICALS";"TECHNIK";"Reihenanzahl";"Number of aggregates, e.g. drill rows per drill equipment";"number";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"OBSERVED_Summary";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRTNO";"OBSERVED_Summary";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Glucose";"OBSERVED_Summary";"BODENBIOLOGIE";"Glucose";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Katalase";"OBSERVED_Summary";"BODENBIOLOGIE";"Katalase";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_juv";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_juv";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_adult";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_adult";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_ges";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_ges";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_juv";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Biomasse_juv";"";"";"";"";"";"";"";"";"";"";""
